Latin Name,Common Name,Habit,Height,Hardiness,Soil,Shade,Moisture,Edible,Medicinal,Other
Petroselinum crispum tuberosum,Hamburg Parsley,Biennial,0.6,0-0,,LMH,SN,M,4,3,3
Peucedanum officinale,Hog's Fennel,Perennial,1.2,-,,LMH,N,M,0,2,
Philadelphus pubescens,Hoary mock orange,Shrub,5.0,5-9,,LMH,SN,M,0,0,
Phyllostachys arcana,Half-Black Bamboo,Bamboo,6.0,7-10,,LMH,SN,M,3,0,
Phyllostachys nigra henonis,Ha-Chiku,Bamboo,6.0,6-9,,LMH,S,M,4,3,
Picris hieracioides,Hawkweed Ox-Tongue,Biennial/Perennial,0.9,5-9,,LMH,N,DM,2,1,0
Picrorhiza scrophulariiflora,Hu Huang Lian,Perennial,0.1,-,,LMH,SN,M,0,3,
Pinellia pedatisecta,Hu Zhang,Corm,0.2,5-9,,LMH,SN,M,0,2,
Pinus wallichiana,"Himalayan Blue Pine, Bhutan pine, Himalayan  Pine",Tree,25.0,5-7,F,LMH,N,DM,2,2,
Plantago media,Hoary Plantain,Perennial,0.1,5-9,,LMH,N,DM,2,2,2
Podophyllum hexandrum,Himalayan May Apple,Perennial,0.5,5-9,,LM,FS,M,2,4,
Poliomintha incana,"Rosemary Mint, Frosted mint",Shrub,1.0,0-0,,LMH,SN,M,1,1,
Polygonatum pubescens,Hairy Solomon's Seal,Perennial,1.0,3-7,,LMH,FS,M,2,1,
Polygonatum sibiricum,Huang Jing,Perennial,1.0,3-7,,LMH,FS,M,2,2,
Polygonum multiflorum,"He Shou Wu, Tuber fleeceflower",Perennial Climber,4.5,6-9,,LMH,SN,M,2,3,
Polygonum polystachyum,"Himalayan Knotweed, Cultivated knotweed",Perennial,1.8,5-9,F,LMH,SN,M,2,0,0
Polystichum aculeatum,Hard Shield Fern,Fern,0.8,4-8,,LM,FS,M,1,0,
Polytrichum juniperinum,"Hair-Cap Moss, Juniper polytrichum moss",Perennial,0.0,0-0,,LM,SN,DM,0,2,
Populus ciliata,Himalayan Poplar,Tree,20.0,0-0,F,LMH,N,M,0,2,2
Populus hybrids,Hybrid poplar,Tree,50.0,2-10,F,LMH,SN,DM,3,3,4
Prosopis glandulosa,Honeypod mesquite. Glandular mesquite,Tree,7.0,8-11,F,LMH,N,M,3,2,4
Prunus cornuta,Himalayan Bird Cherry,Tree,15.0,4-8,,LMH,SN,M,2,1,
Prunus hortulana,"Hog Plum, Hortulan plum",Tree,9.0,5-9,,LMH,SN,M,3,1,2
Prunus ilicifolia,Holly-Leaved Cherry,Shrub,4.0,8-11,M,LMH,SN,DM,2,1,
Prunus orthosepala,Hybrid plum,Shrub,6.0,0-0,,LMH,N,M,3,1,1
Prunus rufa,Himalayan Cherry,Tree,6.0,7-10,,LMH,SN,M,2,1,
Psoralea macrostachya,Large Leather Root,Perennial,1.0,0-0,,LMH,N,M,2,1,
Psoralea orbicularis,Roundleaf Leather Root,Perennial,0.1,5-9,,LMH,N,DM,1,1,
Ptaeroxylon obliquum,Sneezewood,Shrub,20.0,10-12,M,LM,N,M,0,2,4
Ptelea trifoliata,"Hop Tree, Common hoptree, Pallid hoptree",Tree,6.0,4-8,S,LMH,SN,M,2,3,
Ptelea trifoliata mollis,Hop Tree,Tree,6.0,4-8,,LMH,SN,M,2,3,
Pueraria tuberosa,,Climber,1.0,-,,LMH,N,M,2,2,
Pycnanthemum incanum,Hoary Mountain Mint,Perennial,1.0,-,,LMH,SN,DM,1,2,
Pyrus ussuriensis,"Harbin Pear, Chinese pear, Ussurian Pear",Tree,15.0,3-7,F,LMH,SN,M,4,0,2
Quercus frainetto,"Hungarian Oak,  Italian Oak, Forest Green Oak",Tree,30.0,5-8,F,MH,SN,M,4,2,
Quercus ilex,"Holly Oak,  Evergreen Oak",Tree,25.0,4-10,S,LMH,SN,M,5,2,3
Quercus ilex ballota,Holm Oak,Tree,25.0,6-9,S,LMH,SN,M,5,2,3
Ranunculus chinensis,Hui Hui Suan,Perennial,0.6,-,,LMH,SN,MWe,1,0,
Rheum australe,Himalayan Rhubarb,Perennial,3.0,5-9,,MH,SN,M,3,3,2
Rhododendron luteum,Honeysuckle Azalea,Shrub,2.5,4-8,,LM,S,M,0,0,
Ribes hudsonianum,"Hudson Bay Currant, Northern black currant, Western black currant",Shrub,1.0,0-0,,LMH,SN,M,2,1,
Rosa sericea,Himalayan Rose,Shrub,2.0,5-9,,LMH,SN,M,2,1,
Rosa sericea omeiensis,Himalayan Rose,Shrub,3.0,-,,LMH,SN,M,2,1,
Rubus argutus,"Highbush Blackberry, Sawtooth blackberry",Shrub,2.5,0-0,,LMH,SN,M,2,1,0
Rubus bifrons,"Himalayan berry, Hybrid European blackberry, Hybrid blackberry",Shrub,1.5,0-0,,LMH,SN,M,1,0,1
Rubus microphyllus,"Hsuan Kou Tzu, Mu Mei, Shan Mei,",Shrub,0.0,8-11,,LMH,SN,M,3,0,1
Rubus procerus,Himalayan Giant Blackberry,Shrub,10.0,4-8,F,LMH,SN,M,5,0,1
Rubus species,Hybrid Berries,Shrub,3.0,5-9,F,LMH,SN,M,2,0,
Rumex patientia,Herb Patience,Perennial,1.5,5-10,,LMH,SN,M,3,1,0
Salix hastata,"Halberd-Leaved Willow, Halberd willow",Shrub,2.0,5-9,,LMH,N,MWe,1,2,3
Salix hybrids,Hybrid willows,Shrub,25.0,2-11,F,LMH,N,MWe,3,3,5
Santalum haleakalae,"Haleakala Sandalwood, Lliahi",Tree,3.0,9-12,S,LM,SN,D,1,2,4
Santolina rosmarinifolia,Holy Flax,Shrub,0.5,6-10,,LM,N,DM,0,0,0
Sargentodoxa cuneata,,Climber,7.5,8-11,F,LMH,SN,M,0,2,
Saussurea affinis,,Biennial,0.6,-,,LMH,N,M,1,1,
Schinus polygamus,"Huigen, Hardee peppertree",Shrub,4.5,7-10,,LMH,SN,DM,1,1,
Scirpus acutus,Hard Stem Bulrush,Perennial,2.0,-,F,LMH,SN,MWeWa,3,1,
Scopolia carniolica,"Scopolia, European scopolia",Perennial,0.6,4-8,,LM,FS,DM,0,2,
Sedum spectabile,Ice Plant,Perennial,0.4,5-9,,LMH,N,DM,2,1,3
Sempervivum tectorum,"Houseleek, Common houseleek, Hen and Chickens",Perennial,0.2,5-10,M,LM,N,DM,2,3,
Senecio erucifolius,"Hoary Groundsel, Hoary ragwort",Perennial,0.6,5-9,,LMH,N,DM,0,2,
Serratula tinctoria,"Saw-Wort, Dyer's plumeless saw-wort",Perennial,1.0,5-9,,LMH,SN,M,1,1,
Shorea balangeran,Red Balau,Tree,25.0,10-12,M,LM,SN,M,0,0,4
Shorea macrophylla,"Light Red Meranti, Engkabang, False Ilipe Nut",Tree,35.0,10-12,F,MH,N,M,3,2,4
Smilax hispida,Hag Briar,Climber,15.0,4-8,,LMH,SN,M,2,2,
Smilax officinalis,Honduran sarsaparilla,Perennial Climber,25.0,10-12,F,LMH,SN,M,2,4,2
Smilax rotundifolia,"Horse Brier, Roundleaf greenbrier, Brambles",Climber,12.0,4-9,F,LMH,SN,M,3,2,0
Solanum carolinense,"Horse Nettle, Carolina horsenettle",Perennial,1.0,3-7,,LMH,SN,M,0,2,0
Sorghum halepense,Johnson Grass,Perennial,2.0,7-10,F,LMH,N,DM,3,1,3
Spiraea tomentosa,"Hardhack, Steeplebush",Shrub,1.5,3-7,,LMH,SN,M,0,2,
Stachys hyssopifolia,hyssopleaf hedgenettle,Perennial,0.6,4-8,,LMH,SN,M,2,0,
Stachys hyssopifolia ambigua,hyssopleaf hedgenettle,Perennial,0.8,4-8,,LMH,SN,M,1,1,
Stachys sylvatica,"Hedge Woundwort, Whitespot",Perennial,0.9,4-8,,LMH,SN,M,0,1,
Syringa josikaea,Hungarian Lilac,Shrub,4.0,2-7,M,LMH,N,M,0,0,
Thespesia populneoides,Tulip Tree;  Portia Tree; Pacific Rosewood,Tree,10.0,10-12,F,LMH,N,DM,3,3,4
Thujopsis dolabrata,Hiba,Tree,20.0,-,S,LMH,SN,M,0,0,
Thymus capitatus,"Headed Savory, Thymus",Shrub,0.3,6-9,,LM,N,DM,2,2,
Tithonia diversifolia,Mexican Sunflower,Perennial,3.0,10-12,F,LMH,N,DM,0,3,3
Typha glauca,Hybrid cattail,Perennial,3.0,0-0,,LMH,N,WeWa,4,0,
Vaccinium constablaei,Hillside Blueberry,Shrub,1.0,-,,LM,SN,M,3,0,
Vaccinium corymbosum,"High-Bush Blueberry, American Blueberry, Swamp Blueberry, Blueberry",Shrub,2.0,3-8,M,LM,SN,M,4,1,0
Vaccinium hirsutum,Hairy Huckleberry,Shrub,0.0,5-9,,LM,SN,M,3,0,
Vaccinium japonicum,,Shrub,0.7,5-9,,LM,SN,M,2,0,
Verbascum pulverulentum,"Hoary Mullein, Broad-leaf mullein",Biennial,1.8,3-7,,LMH,N,DM,0,1,2
Verbena stricta,"Hoary Vervain, Hoary verbena",Perennial,1.0,4-8,,LMH,N,M,1,1,0
Viburnum lantanoides,Hobbleberry,Shrub,3.0,3-7,,LMH,FSN,M,3,1,0
Vicia faba equina,Horsebean,Annual,1.0,4-8,F,LMH,SN,M,3,0,3
Vicia hirsuta,"Hairy Tare, Tiny vetch",Annual,0.5,4-9,,LMH,SN,M,2,0,3
Vicia monantha,"Hard Vetch, Barn vetch",Annual,0.0,0-0,,LMH,SN,M,2,0,
Viola cornuta,"Horned Violet, Bedding Pansy, Tufted Pansy,",Perennial,0.2,6-11,F,LMH,SN,M,3,0,0
Viola tricolor,"Heartsease, Johnny jumpup, Field Pansy,",Annual/Perennial,0.2,4-9,M,LMH,SN,M,2,3,
Wyethia longicaulis,Humboldt Mulesears,Perennial,0.5,-,,LM,N,M,3,1,
x Sorbo­crataegus hybrid,Haw x mountain ash,Tree,3.0,3-8,M,LMH,N,M,5,0,2
Zannichellia palustris,Horned Pondweed,Perennial,0.5,-,,LMH,SN,Wa,0,0,
Zanthoxylum clava-herculis,"Hercules Club. Prickly Ash - Southern, Hercules' club, Southern Prickly Ash",Shrub,3.0,7-11,M,LMH,SN,M,2,3,
Abelia triflora,Indian Abelia,Shrub,3.5,5-9,M,LM,SN,DM,0,0,1
Achnatherum hymenoides,"Indian Millet, Indian ricegrass",Perennial,0.6,7-10,,LMH,N,M,3,0,3
Aconitum ferox,Indian aconite,Perennial,1.0,5-9,,LMH,SN,M,0,1,
Aesculus indica,Indian Horse Chestnut,Tree,30.0,6-9,,LMH,SN,M,3,1,
Arisaema quinatum,"Indian Turnip, Jack in the pulpit",Perennial,1.0,0-0,,LM,FSN,M,1,0,
Atropa acuminata,Indian Belladonna,Perennial,0.9,-,,LM,FSN,M,0,3,
Belamcanda chinensis,"Leopard Lily, Blackberry lily, Leopard Flower",Perennial,1.0,4-10,F,LM,SN,M,1,3,
Brassica rapa dichotoma,Indian Rape,Biennial,0.9,6-9,,LMH,SN,M,2,0,0
Brassica rapa trilocularis,Indian Colza,Biennial,0.9,6-9,,LMH,SN,M,2,0,0
Bumelia tenax,"Ironwood, Tough bully",Tree,8.0,8-11,,LMH,N,M,2,0,
Canna indica,Indian Shot,Perennial,1.5,7-10,,LMH,N,M,4,2,3
Carpobrotus modestus,Inland Pigface,Perennial,0.2,8-11,,LMH,SN,DM,0,0,
Centaurea iberica,"Iberian Star Thistle, Iberian knapweed",Biennial,0.9,5-9,,LMH,N,DM,1,2,0
Cetraria islandica,"Iceland Moss, Island cetraria lichen, Oriental cetraria lichen",Lichen,0.1,0-0,S,LMH,SN,M,3,3,
Chasmanthium latifolium,"Indian Woodoats, Wild Oats Grass, North American Wild Oats, Northern Sea Oats, Spanglegrass River Oa",Perennial,1.0,4-10,M,LM,SN,M,1,0,
Cirsium brevistylum,"Indian Thistle, Clustered thistle",Perennial,1.8,0-0,,LMH,SN,M,3,0,
Citrus ichangensis,Ichang Papeda,Shrub,4.5,7-10,,LMH,N,M,2,2,
Coptis occidentalis,Idaho goldthread,Perennial,0.2,4-8,,LMH,SN,M,0,0,
Crepis bursifolia,Italian hawksbeard,Perennial,0.0,0-0,,LMH,SN,M,2,0,
Cupressus sempervirens,Italian Cypress,Tree,30.0,7-11,M,LMH,N,DM,0,2,
Diospyros celebica,"Indonesian Ebony, black ebony, makassar-ebenholts",Tree,30.0,10-12,S,LMH,N,M,2,0,4
Distylium racemosum,Isu Tree,Shrub,2.0,7-10,S,LM,S,M,0,0,
Euphorbia intisy,"Intisy, Pencil Plant",Shrub,5.0,10-12,F,LM,SN,D,0,0,3
Fragaria nubicola,Indian Strawberry,Perennial,0.2,5-9,,LMH,SN,M,2,1,
Gillenia trifoliata,"Indian Physic, Bowman's root",Perennial,1.2,4-9,M,LMH,SN,M,0,3,
Gynandriris sisyrinchium,Spanish Nut,Perennial,0.2,7-10,,MH,SN,DM,1,0,
Hoffmannseggia densiflora,Indian Rush-Pea,Perennial,0.3,-,,LMH,SN,M,1,0,
Idesia polycarpa,Idesia,Tree,12.0,4-8,,LMH,SN,M,1,0,
Ilex glabra,Inkberry,Shrub,3.0,3-7,S,LMH,SN,M,1,0,2
Ilex purpurea,,Tree,12.0,7-10,,LMH,SN,M,0,2,
Illicium anisatum,"Star Anise, Chinese Anise,Japanese Anise",Shrub,6.0,7-10,S,LM,SN,M,1,2,
Impatiens capensis,Jewelweed,Annual,1.2,-,F,LMH,SN,M,3,2,
Impatiens glandulifera,"Jewelweed, Ornamental jewelweed",Annual,1.5,5-9,F,LMH,SN,M,3,1,0
Impatiens sulcata,,Annual,1.5,-,,LMH,SN,M,2,0,
Indigofera cassioides,,Shrub,3.5,8-11,,LM,N,M,1,1,
Indigofera heterantha,Indigo Bush,Shrub,3.0,6-9,,LM,N,DM,1,0,
Indigofera kirilowii,"Kirilow's indigo, Indigo",Shrub,1.5,5-7,M,LM,N,M,0,1,
Indigofera pseudotinctoria,Indigo,Shrub,1.0,6-10,M,LM,N,M,1,0,
Inula conyza,Ploughman's Spikenard,Biennial/Perennial,1.2,5-9,,LMH,N,M,0,1,
Ipomoea aquatica,"Kangkong, Swamp Morning Glory",Annual/Perennial,0.5,7-12,F,LMH,N,MWeWa,4,2,0
Ipomoea jalapa,Jalap,Climber,3.0,-,,LMH,SN,M,0,3,
Ipomoea tricolor,"Morning Glory, Grannyvine",Perennial Climber,5.0,10-11,F,LMH,N,M,0,1,
Iris decora,,Perennial,0.3,-,,LM,N,DM,0,1,
Iris douglasiana,"Mountain Iris, Douglas iris",Perennial,0.3,6-9,,LM,SN,DMWe,0,0,0
Iris ensata,Japanese Water Iris,Perennial,0.6,5-8,M,LM,N,MWe,1,1,
Iris filifolia,,Bulb,0.5,-,,LM,N,DM,1,0,
Iris germanica florentina,"Orris,  Orris-root",Perennial,0.9,5-10,M,LM,SN,M,1,3,
Iris tenax,"Tough-Leaf Iris, Klamath iris",Perennial,0.3,0-0,,LM,SN,DM,0,1,
Lactuca indica,Indian Lettuce,Perennial,1.2,-,,LM,SN,M,3,2,
Lagochilus inebrians,Intoxicating Mint,Shrub,1.0,-,,LM,N,DM,1,2,
Litsea glutinosa,"Indian Laurel. Brown bollygum, Maida lakri",Tree,15.0,10-12,F,LMH,N,M,2,2,3
Lolium multiflorum,Italian Ryegrass,Biennial,0.3,4-8,,LMH,N,M,0,0,
Lonicera caprifolium,"Italian Honeysuckle, Italian woodbine",Climber,6.0,4-8,M,LMH,FSN,M,1,2,
Medeola virginiana,Indian Cucumber Root,Perennial,0.3,3-7,,LM,S,M,4,1,1
Mimusops elengi,"Spanish Cherry, Bakul",Tree,15.0,10-12,M,LMH,FSN,M,3,2,4
Mollugo verticillata,"Indian Chickweed, Green carpetweed",Annual,0.2,0-0,,LMH,SN,M,1,1,0
Monotropa uniflora,Indian Pipe,Perennial,0.2,-,,LMH,FS,M,2,3,
Muscari botryoides,"Italian Grape Hyacinth, Common grape hyacinth, White Grape Hyacinth",Bulb,0.3,3-8,M,LMH,SN,DM,1,0,2
Octomeles sumatrana,Ilimo Tree,Tree,50.0,10-12,F,MH,N,M,2,2,4
Orogenia linearifolia,"Indian Potato, Great Basin Indian potato",Perennial,0.2,0-0,,LM,N,M,4,0,
Osmunda claytoniana,Interrupted Fern,Fern,0.5,3-7,,LMH,SN,MWe,2,1,
Ostrya virginiana,"Ironwood, Hophornbeam, Hop Hornbeam American, Hop Hornbeam Eastern",Tree,15.0,3-9,S,LMH,SN,M,0,1,
Oxalis deppei,Iron Cross Plant,Bulb,0.3,7-10,,LM,N,M,4,0,
Pelargonium australe,Ivy Geranium,Perennial,0.3,8-11,,LM,N,DM,1,1,
Pelargonium peltatum,"Ivy-Leaved Geranium, Hanging Geranium,  Ivy Geranium",Shrub,1.5,9-10,M,LM,N,DM,1,1,
Peucedanum ostruthium,Masterwort,Perennial,1.2,4-8,,LMH,SN,M,2,2,
Phytolacca acinosa,Indian Poke,Perennial,1.5,7-10,,LMH,SN,M,2,3,
Pinus pinea,"Italian Stone Pine, Umbrella Pine, Stone Pine",Tree,10.0,7-11,M,LM,N,DM,4,2,4
Porteresia coarctata,Wild rice. Uri. Tropical wild rice,Perennial,2.0,10-12,F,LMH,N,MWeWa,3,0,3
Psoralea cuspidata,"Indian Breadroot, Largebract Indian breadroot",Perennial,0.6,0-0,,LM,N,DM,2,0,
Pyrus pashia,Indian Wild Pear,Tree,9.0,4-8,,LMH,SN,M,3,1,
Raphia hookeri,Ivory Coast Raffia Palm,Tree,10.0,10-12,F,LMH,N,MWe,3,2,4
Rhamnus alaternus,Italian Buckthorn,Shrub,5.0,6-9,F,LMH,SN,DM,0,0,
Rhaphiolepis indica,Indian Hawthorn,Shrub,1.5,8-11,S,LMH,N,DM,1,0,
Ribes irriguum,Idaho Gooseberry,Shrub,3.0,-,,LMH,SN,M,2,1,
Rubia cordifolia,Indian Madder,Perennial Climber,6.0,5-9,,LMH,S,DM,2,3,
Rubia manjith,Indian Madder,Perennial Climber,0.0,-,,LMH,S,DM,1,2,
Sideritis syriaca,Ironwort,Perennial,0.4,7-10,,LM,N,DM,1,0,
Spigelia marilandica,"Indian Pink, Woodland pinkroot",Perennial,0.5,7-10,,LMH,SN,DM,0,3,
Spondias tuberosa,"Imbu, Umbú, Brazil Plum",Tree,6.0,10-12,S,LMH,N,DM,4,0,2
Tabernanthe iboga,Iboga,Shrub,1.5,10-12,F,LMH,SN,MWe,0,4,0
Tagetes filifolia,Irish Lace,Annual,0.4,8-11,,LMH,N,DM,1,0,2
Terminalia catappa,"Indian Almond, Tropical Almond Tree",Tree,30.0,10-12,F,LM,N,M,4,2,3
Valeriana jatamansi,Indian Valerian,Perennial,0.5,-,,LMH,N,M,0,3,
Valerianella eriocarpa,Italian Corn Salad,Annual,0.4,-,,LMH,N,DM,3,0,
Veratrum viride,"Indian Poke, American Hellebore",Perennial,2.0,3-7,,LMH,SN,MWe,1,2,
Vernonia glauca,"Ironweed, Broadleaf ironweed",Perennial,1.5,3-7,,LMH,N,M,0,1,
Veronica hederifolia,Ivy-Leaf Speedwell,Annual,0.5,-,,LMH,N,M,0,1,
Xerophyllum tenax,"Indian Basket Grass, Common beargrass",Perennial,1.2,4-8,S,LM,SN,M,1,1,
Youngia denticulata,,Annual/Biennial,0.6,-,,LM,SN,M,1,1,
Achyranthes japonica,Japanese Chaff Flower,Perennial,1.0,-,,LM,SN,M,0,3,
Aleurites cordata,Japan Wood-Oil Tree,Tree,7.0,9-11,,LM,SN,M,0,0,
Allium wallichii,Jimbur,Bulb,0.6,7-10,,LM,N,M,3,2,
Alnus japonica,Japanese Alder,Tree,22.0,4-8,F,MH,SN,DMWe,0,1,
Amelanchier intermedia,"June berry,",Shrub,6.0,4-8,,LMH,SN,M,3,0,0
Amelasorbus jackii,Jack's amelasorbus,Shrub,2.0,3-7,,LMH,SN,M,2,0,
Atractylodes japonica,Japanese Atractylodes,Perennial,0.8,-,,LMH,SN,M,2,3,
Berberis thunbergii,Japanese Barberry,Shrub,2.0,4-8,M,LMH,SN,DM,2,2,2
Brassica oleracea palmifolia,Jersey Kale,Biennial,3.0,-,,LMH,SN,M,3,0,
Bromus japonicus,"Japanese Chess, Field brome",Annual/Biennial,0.8,7-10,,LMH,SN,DM,1,0,
Calystegia hederacea,Japanese false bindweed,Perennial Climber,5.0,4-8,,LMH,N,M,2,1,
Carex hachijoensis,Japanese sedge,Perennial,0.3,5-9,M,LMH,FS,M,0,0,3
Carya aquatica,Water Hickory,Tree,20.0,5-9,S,LMH,N,M,1,0,
Caryota urens,"Jaggary Palm, Toddy Palm, Fishtail Wine Palm",Tree,12.0,9-12,M,LMH,FSN,M,4,2,4
Castanopsis cuspidata,Japanese Chinquapin,Tree,25.0,6-9,,MH,S,M,2,0,
Cephalotaxus harringtonia,Japanese Plum Yew,Shrub,5.0,6-9,S,LMH,FS,M,5,0,3
Cercis siliquastrum,"Judas Tree, Redbud",Tree,12.0,6-9,M,LMH,SN,DM,4,0,4
Chenopodium botrys,"Jerusalem Oak, Jerusalem oak goosefoot",Annual,0.6,0-0,,LMH,N,M,2,2,
Clerodendrum japonicum,Japanese glorybower,Shrub,2.5,9-11,,LMH,N,M,1,1,
Coix lacryma-jobi,Job's Tears,Perennial,1.0,8-11,,LMH,N,M,3,3,
Corchorus capsularis,Jute,Annual/Perennial,3.5,9-11,F,LMH,N,M,3,2,
Corchorus olitorius,"Jew's Mallow, Nalta jute",Annual/Perennial,3.5,9-11,F,LMH,N,M,4,2,4
Cornus kousa,"Japanese Dogwood, Kousa dogwood, Chinese Dogwood,",Tree,10.0,5-8,S,LMH,SN,M,5,0,2
Corylus sieboldiana,"Japanese Hazel, Manchurian hazel",Shrub,5.0,5-9,,LMH,SN,M,3,0,1
Cycas revoluta,"Japanese Sago Palm, Sago palm, King Sago Palm",Tree,3.5,8-11,S,LM,SN,DM,2,2,
Disporum sessile,Japanese Fairy Bells,Perennial,0.6,4-8,F,LMH,S,M,1,0,
Echinochloa colona,Jungle Rice,Annual,1.0,0-0,,LMH,N,M,2,0,0
Echinochloa frumentacea,"Japanese Millet, Billion-dollar grass",Annual,1.8,0-0,,LMH,N,M,3,1,
Euonymus japonicus,"Japanese Spindle Tree, Box-leaf Euonymus, Evergreen Euonymus, Japanese Euonymus",Shrub,4.5,6-9,M,LMH,SN,DM,1,1,
Eupatorium maculatum,"Joe Pye Weed, Spotted joe pye weed",Perennial,1.5,3-7,M,LMH,SN,M,0,2,
Fagus crenata,Japanese Beech,Tree,35.0,4-8,S,LM,FSN,DM,2,0,
Fagus japonica,Japanese Beech,Tree,22.0,4-8,S,LM,FSN,DM,2,0,
Gnaphalium luteoalbum,Jersey Cudweed,Annual/Biennial,0.2,-,,LM,SN,DM,1,1,
Gnetum buchholzianum,Jointfir,Climber,10.0,10-12,F,LMH,FSN,M,4,2,2
Helianthus tuberosus,Jerusalem Artichoke,Perennial,2.4,4-8,F,LMH,N,DM,4,1,3
Hydrophyllum canadense,"John's Cabbage, Bluntleaf waterleaf",Perennial,0.3,4-8,,LMH,S,M,3,0,
Ilex crenata,"Japanese Holly, Box Leaved Holly",Shrub,5.0,6-8,S,LMH,SN,M,1,0,
Ipomoea nil,"Japanese Morning Glory, Whiteedge morning-glory",Annual,5.0,8-11,F,LMH,N,M,0,2,
Jasminum grandiflorum,Jasmin,Climber,2.5,10-12,S,LMH,SN,M,3,3,4
Jasminum humile,Yellow Jasmine,Shrub,3.0,7-10,,LMH,SN,DM,1,1,
Jasminum nudiflorum,"Winter-Flowering Jasmin, Winter jasmine",Shrub,3.6,6-11,M,LMH,FSN,M,0,1,
Jasminum officinale,"Jessamine, Poet's jasmine",Climber,10.0,6-9,F,LMH,SN,M,2,2,
Jasminum sambac,Jasmine Tea,Shrub,3.0,9-12,M,LM,SN,M,3,3,3
Jeffersonia diphylla,"Twinleaf, Rheumatism Root",Perennial,0.2,5-8,S,LM,FS,M,0,2,
Juglans ailanthifolia,Japanese Walnut,Tree,20.0,4-8,,LMH,N,M,3,1,5
Juglans microcarpa,"Texas Walnut, Little walnut, Stewart's little walnut",Tree,10.0,5-9,,LMH,N,M,2,0,
Juglans olanchana,"Olancho walnut, Central American walnut",Tree,45.0,10-12,M,LMH,SN,MWe,2,0,3
Juglans regia fallax,Walnut,Tree,30.0,4-8,,LMH,N,M,3,0,
Juglans regia kamaonia,Walnut,Tree,30.0,4-8,,LMH,N,M,3,3,
Juglans sinensis,,Tree,20.0,-,,LMH,N,M,3,1,
Juncus effusus,"Soft Rush, Common rush, Lamp rush,  Pacific rush",Perennial,1.5,4-8,,LMH,SN,MWeWa,1,2,0
Juniperus communis,"Juniper, Common juniper",Shrub,9.0,4-10,S,LMH,SN,DM,3,3,4
Juniperus communis nana,Juniper,Shrub,0.5,4-10,S,LMH,SN,DM,3,3,4
Juniperus conferta,Shore Juniper,Shrub,0.2,6-10,S,LMH,SN,DM,2,0,3
Juniperus occidentalis,Western Juniper,Tree,18.0,4-8,S,LMH,N,DM,3,2,3
Juniperus scopulorum,"Rocky Mountain Juniper, Weeping Rocky Mountian Juniper, Colorado Red Cedar",Tree,10.0,3-7,S,LMH,N,DM,3,2,4
Juniperus tetragona,,Tree,0.0,7-10,,LMH,N,DM,2,0,
Koeleria macrantha,"June Grass, Prairie Junegrass",Perennial,0.5,0-0,,LMH,SN,M,1,1,
Larix kaempferi,Japanese Larch,Tree,45.0,4-6,F,LMH,SN,M,0,0,
Ligustrum japonicum,"Japanese Privet, Japanese Ligustrum, Waxleaf Ligustrum, Texas Privet, Waxleaf  Privet",Shrub,5.0,7-10,M,LMH,SN,M,1,1,
Lithocarpus glaber,Japanese Oak,Tree,7.0,6-9,,LMH,SN,M,1,0,
Lonicera japonica,Japanese Honeysuckle,Climber,5.0,4-10,F,LMH,SN,DM,2,3,0
Lysimachia christiniae,Jin Qian Cao,Perennial,0.3,-,,LMH,SN,M,0,2,
Malus floribunda,"Japanese Crab, Japanese flowering crab apple",Tree,10.0,4-7,M,LMH,SN,M,3,0,
Manihot caerulescens,Manicoba,Shrub,3.5,10-12,M,LM,N,DM,0,0,3
Manihot dichotoma,"Jequie manicoba, Manihot rubber tree",Tree,5.0,10-12,F,LMH,N,DM,0,0,1
Mazus pumilus,Japanese mazus,Annual,0.2,0-0,,LMH,N,M,1,1,
Melichrus procumbens,Jam Tarts,Shrub,1.5,-,,LMH,SN,M,1,0,
Mentha arvensis piperascens,Japanese Mint,Perennial,0.5,4-8,,LMH,SN,M,3,2,
Millettia reticulata,Ji Xue Teng,Climber,5.0,7-10,,LMH,N,M,0,3,
Musa basjoo,Japanese Banana,Perennial,3.0,7-10,,LMH,N,M,2,2,
Narcissus jonquilla,Jonquil,Bulb,0.3,4-8,,LMH,SN,M,1,0,
Nepeta tenuifolia,Jing Jie,Annual,0.3,-,,LMH,SN,M,0,2,
Oenocarpus bataua,Pataua Palm. Bataua,Tree,20.0,10-12,F,MH,N,MWe,3,2,3
Pachyrhizus tuberosus,"Jicama, Ajipo",Perennial Climber,6.0,9-11,,LM,N,M,3,0,
Pachysandra terminalis,"Japanese Spurge, Japanese pachysandra, Pachysandra",Shrub,0.2,4-8,M,LMH,FS,DM,2,0,
Panax japonicus,Japanese Ginseng,Perennial,0.6,-,,LMH,FS,M,1,1,
Parkinsonia aculeata,Jerusalem Thorn,Tree,7.5,9-11,F,LM,N,DM,3,2,3
Phlomis fruticosa,"Jerusalem Sage, Shrubby Jerusalem sage",Shrub,1.3,4-7,M,LMH,N,DM,0,0,
Phlomis russeliana,Jerusalem Sage,Perennial,1.0,5-9,M,LMH,SN,DM,0,0,
Picrasma excelsa,Jamaican Quassia,Tree,20.0,10-12,M,LM,N,M,2,4,4
Pinus banksiana,Jack Pine,Tree,12.0,2-7,F,LM,N,DM,2,2,
Pinus densiflora,Japanese Red Pine,Tree,15.0,3-7,M,LM,N,DM,2,2,
